Company,Metric,Lag_Months,Pearson_r,Pearson_p,Significant
Microsoft,Volume,5,0.744551,0.0,True
Microsoft,Volume,6,0.733731,0.0,True
Microsoft,Volume,7,0.737855,0.0,True
Microsoft,Volume,8,0.753141,0.0,True
Microsoft,Volume,9,0.7483,0.0,True
Microsoft,Volume,10,0.733587,0.0,True
Microsoft,Volume,11,0.741835,0.0,True
Microsoft,Volume,12,0.762449,0.0,True
Microsoft,Volatility,1,-0.03014,0.65587,False
Microsoft,Volatility,2,-0.061144,0.366743,False
Microsoft,Volatility,3,-0.04912,0.469569,False
Microsoft,Volatility,4,-0.037371,0.583146,False
Microsoft,Volatility,5,-0.027345,0.688742,False
Microsoft,Volatility,6,-0.011002,0.872286,False
Microsoft,Volatility,7,-0.016413,0.810891,False
Microsoft,Volatility,8,-0.018673,0.785941,False
Microsoft,Volatility,9,-0.007231,0.916444,False
Microsoft,Volatility,10,-0.016019,0.81664,False
Microsoft,Volatility,11,-0.008224,0.905471,False
Microsoft,Volatility,12,0.015537,0.8229,False
Netflix,Price,1,0.885887,0.0,True
Netflix,Price,2,0.889099,0.0,True
Netflix,Price,3,0.892231,0.0,True
Netflix,Price,4,0.893979,0.0,True
Netflix,Price,5,0.897077,0.0,True
Netflix,Price,6,0.899913,0.0,True
Netflix,Price,7,0.901343,0.0,True
Netflix,Price,8,0.900626,0.0,True
Netflix,Price,9,0.902429,0.0,True
Netflix,Price,10,0.902153,0.0,True
Netflix,Price,11,0.897507,0.0,True
Netflix,Price,12,0.890113,0.0,True
Netflix,Volume,1,-0.263679,7.2e-05,True
Netflix,Volume,2,-0.272164,4.3e-05,True
Netflix,Volume,3,-0.271251,4.7e-05,True
Netflix,Volume,4,-0.279181,2.9e-05,True
Netflix,Volume,5,-0.297285,8e-06,True
Netflix,Volume,6,-0.305731,5e-06,True
Netflix,Volume,7,-0.313827,3e-06,True
Netflix,Volume,8,-0.324363,1e-06,True
Netflix,Volume,9,-0.335328,1e-06,True
Netflix,Volume,10,-0.344149,0.0,True
Netflix,Volume,11,-0.350113,0.0,True
Netflix,Volume,12,-0.354382,0.0,True
Netflix,Volatility,1,-0.182575,0.006495,True
Netflix,Volatility,2,-0.183957,0.006212,True
Netflix,Volatility,3,-0.167467,0.013077,True
Netflix,Volatility,4,-0.165347,0.01452,True
Netflix,Volatility,5,-0.190913,0.004771,True
Netflix,Volatility,6,-0.197814,0.003508,True
Netflix,Volatility,7,-0.19873,0.003431,True
Netflix,Volatility,8,-0.195885,0.004019,True
Netflix,Volatility,9,-0.194171,0.004451,True
Netflix,Volatility,10,-0.188939,0.005787,True
Netflix,Volatility,11,-0.186904,0.006472,True
Netflix,Volatility,12,-0.183288,0.007748,True
