Company,Metric,Mean,Std,Min,Max,Median
Apple,Price,2.9004776258842866,1.353745637640232,-0.2329062247243914,5.156481457765907,3.068270469536426
Apple,Volume,8855784506.756756,7385038910.140418,902032900.0,41426711200.0,6431168600.0
Apple,Volatility,0.019217092860183076,0.008301882287334668,0.0051295524588939,0.0668991991016096,0.0176370164483576
Amazon,Price,2.8521961028993372,1.4919249788274562,0.32919425369896393,5.197393160792655,2.736309031808884
Amazon,Volume,2333200410.810811,1132279037.255707,811244300.0,6925740000.0,1957355000.0
Amazon,Volatility,0.022867623728630534,0.010434265357868467,0.0070115556927657,0.0651628816852972,0.0209661969163846
Google,Price,3.2603084507004483,0.8946690080318426,1.3393255691469383,4.993370607935725,3.2548679124757935
Google,Volume,2551745054.391892,2767948107.4147096,372312000.0,15618390955.0,1393322052.0
Google,Volatility,0.0177226038236795,0.008103903362909034,0.0068809454665701,0.0523018367678407,0.01541011599931175
Microsoft,Price,3.9866165629835764,0.849366716844298,2.827851393223909,5.816727008452584,3.6190466865878967
Microsoft,Volume,978588778.3783784,437329196.4800662,375983900.0,3044579400.0,919786150.0
Microsoft,Volatility,0.015730634550432842,0.007842477339836021,0.004813074785587,0.0616692543398185,0.0136759537664159
Netflix,Price,3.6689011421453,1.874803352261488,0.341561312950074,6.503575773401767,3.8878821271133863
Netflix,Volume,342221663.5135135,285009954.3723681,54747700.0,1829322600.0,249535700.0
Netflix,Volatility,0.031448433694986004,0.014896445377507183,0.0099431238402052,0.1001330975248923,0.02918097662891515
