Company,Metric,Lag,Test,F_statistic,p_value,Significant
Apple,Volatility,1,ssr_chi2test,0.908419,0.340534,False
Apple,Volatility,1,lrtest,0.906557,0.34103,False
Apple,Volatility,1,params_ftest,0.896087,0.344881,False
Apple,Volatility,2,ssr_ftest,0.591428,0.554434,False
Apple,Volatility,2,ssr_chi2test,1.210364,0.545975,False
Apple,Volatility,2,lrtest,1.207046,0.546882,False
Apple,Volatility,2,params_ftest,0.591428,0.554434,False
Apple,Volatility,3,ssr_ftest,0.188327,0.90427,False
Apple,Volatility,3,ssr_chi2test,0.583636,0.900168,False
Apple,Volatility,3,lrtest,0.58286,0.900345,False
Apple,Volatility,3,params_ftest,0.188327,0.90427,False
Apple,Volatility,4,ssr_ftest,0.817756,0.515109,False
Apple,Volatility,4,ssr_chi2test,3.41188,0.491403,False
Apple,Volatility,4,lrtest,3.385456,0.495507,False
Apple,Volatility,4,params_ftest,0.817756,0.515109,False
Apple,Volatility,5,ssr_ftest,1.11931,0.351208,False
Apple,Volatility,5,ssr_chi2test,5.895395,0.316531,False
Apple,Volatility,5,lrtest,5.816735,0.324462,False
Apple,Volatility,5,params_ftest,1.11931,0.351208,False
Apple,Volatility,6,ssr_ftest,1.182379,0.317035,False
Apple,Volatility,6,ssr_chi2test,7.54859,0.273074,False
Apple,Volatility,6,lrtest,7.419684,0.283771,False
Apple,Volatility,6,params_ftest,1.182379,0.317035,False
Apple,Volatility,7,ssr_ftest,1.613809,0.133243,False
Apple,Volatility,7,ssr_chi2test,12.14391,0.095925,False
Apple,Volatility,7,lrtest,11.813337,0.106867,False
Apple,Volatility,7,params_ftest,1.613809,0.133243,False
Apple,Volatility,8,ssr_ftest,1.575662,0.134118,False
Apple,Volatility,8,ssr_chi2test,13.693059,0.090125,False
Apple,Volatility,8,lrtest,13.272809,0.102801,False
Apple,Volatility,8,params_ftest,1.575662,0.134118,False
Apple,Volatility,9,ssr_ftest,1.659891,0.101052,False
Apple,Volatility,9,ssr_chi2test,16.402122,0.058944,False
Apple,Volatility,9,lrtest,15.801254,0.07115,False
Apple,Volatility,9,params_ftest,1.659891,0.101052,False
Apple,Volatility,10,ssr_ftest,2.001528,0.035154,True
Apple,Volatility,10,ssr_chi2test,22.215911,0.014042,True
Apple,Volatility,10,lrtest,21.127308,0.020223,True
Apple,Volatility,10,params_ftest,2.001528,0.035154,True
Apple,Volatility,11,ssr_ftest,1.909236,0.040408,True
Apple,Volatility,11,ssr_chi2test,23.57094,0.014668,True
Apple,Volatility,11,lrtest,22.344884,0.021833,True
Apple,Volatility,11,params_ftest,1.909236,0.040408,True
Apple,Volatility,12,ssr_ftest,1.70791,0.067949,False
Apple,Volatility,12,ssr_chi2test,23.264497,0.025563,True
Apple,Volatility,12,lrtest,22.063747,0.036812,True
Apple,Volatility,12,params_ftest,1.70791,0.067949,False
Amazon,Price,1,ssr_ftest,6.659785,0.010517,True
Amazon,Price,1,ssr_chi2test,6.751433,0.009367,True
Amazon,Price,1,lrtest,6.65036,0.009914,True
Amazon,Price,1,params_ftest,6.659785,0.010517,True
Amazon,Price,2,ssr_ftest,3.843655,0.022902,True
Amazon,Price,2,ssr_chi2test,7.866084,0.019584,True
Amazon,Price,2,lrtest,7.728723,0.020976,True
Amazon,Price,2,params_ftest,3.843655,0.022902,True
Amazon,Price,3,ssr_ftest,2.717755,0.045617,True
