Open,High,Low,Close,Adj Close,Volume,Date,Company
1.1564290523529053,1.2428569793701172,1.1457140445709229,1.1964290142059326,1.1964290142059326,104790000,2002-05-23,Netflix
1.214285969734192,1.225000023841858,1.1971429586410522,1.2100000381469729,1.2100000381469729,11104800,2002-05-24,Netflix
1.2135709524154663,1.2321430444717407,1.157142996788025,1.157142996788025,1.157142996788025,6609400,2002-05-28,Netflix
1.1642860174179075,1.1642860174179075,1.0857139825820925,1.1035710573196411,1.1035710573196411,6757800,2002-05-29,Netflix
1.1078569889068604,1.1078569889068604,1.0714290142059326,1.0714290142059326,1.0714290142059326,10154200,2002-05-30,Netflix
1.0785709619522097,1.0785709619522097,1.0714290142059326,1.076429009437561,1.076429009437561,8464400,2002-05-31,Netflix
1.0800000429153442,1.1492860317230225,1.076429009437561,1.1285710334777832,1.1285710334777832,3151400,2002-06-03,Netflix
1.135714054107666,1.1399999856948853,1.1107139587402344,1.1178569793701172,1.1178569793701172,3105200,2002-06-04,Netflix
1.1107139587402344,1.1592860221862793,1.1071430444717407,1.147143006324768,1.147143006324768,1531600,2002-06-05,Netflix
1.149999976158142,1.2321430444717407,1.1485710144042969,1.182142972946167,1.182142972946167,2305800,2002-06-06,Netflix
1.1778570413589478,1.1778570413589478,1.1035710573196411,1.1185710430145264,1.1185710430145264,1369200,2002-06-07,Netflix
1.1349999904632568,1.1749999523162842,1.1342860460281372,1.1564290523529053,1.1564290523529053,484400,2002-06-10,Netflix
1.1564290523529053,1.1885709762573242,1.1285710334777832,1.1535710096359253,1.1535710096359253,1003800,2002-06-11,Netflix
1.1535710096359253,1.182142972946167,1.089285969734192,1.092857003211975,1.092857003211975,1799000,2002-06-12,Netflix
1.1042859554290771,1.122143030166626,1.0800000429153442,1.0828570127487185,1.0828570127487185,2567600,2002-06-13,Netflix
1.082142949104309,1.0857139825820925,0.9800000190734864,0.98642897605896,0.98642897605896,4783800,2002-06-14,Netflix
1.01357102394104,1.0592859983444214,0.917856991291046,0.9221429824829102,0.9221429824829102,4855200,2002-06-17,Netflix
0.9385709762573242,0.9392859935760498,0.8421429991722107,0.9107139706611632,0.9107139706611632,10808000,2002-06-18,Netflix
0.9114289879798888,0.9964290261268616,0.892857015132904,0.951429009437561,0.951429009437561,5482400,2002-06-19,Netflix
0.9714289903640748,1.0399999618530271,0.949999988079071,0.957143008708954,0.957143008708954,6111000,2002-06-20,Netflix
0.982142984867096,0.9892860054969788,0.9478570222854614,0.979286015033722,0.979286015033722,2346400,2002-06-21,Netflix
0.979286015033722,1.0142860412597656,0.957143008708954,0.9785709977149964,0.9785709977149964,2567600,2002-06-24,Netflix
0.9885709881782532,1.0071430206298828,0.947143018245697,0.9642860293388368,0.9642860293388368,3941000,2002-06-25,Netflix
0.9635710120201112,0.9964290261268616,0.9214289784431458,0.9885709881782532,0.9885709881782532,2924600,2002-06-26,Netflix
1.0092860460281372,1.0185710191726685,0.942857027053833,0.9435709714889526,0.9435709714889526,3817800,2002-06-27,Netflix
0.9607139825820924,1.01357102394104,0.9607139825820924,0.9992859959602356,0.9992859959602356,9234400,2002-06-28,Netflix
1.0,1.0464290380477903,0.9928569793701172,1.027856945991516,1.027856945991516,4585000,2002-07-01,Netflix
1.0535709857940674,1.1950000524520874,1.0392860174179075,1.1728570461273191,1.1728570461273191,9020200,2002-07-02,Netflix
1.1785709857940674,1.214285969734192,1.1178569793701172,1.214285969734192,1.214285969734192,4957400,2002-07-03,Netflix
1.214285969734192,1.2992860078811646,1.2135709524154663,1.2764290571212769,1.2764290571212769,2003400,2002-07-05,Netflix
1.2521430253982544,1.2521430253982544,1.167857050895691,1.1757140159606934,1.1757140159606934,1953000,2002-07-08,Netflix
1.1749999523162842,1.1964290142059326,1.114285945892334,1.160714030265808,1.160714030265808,2935800,2002-07-09,Netflix
1.1614290475845337,1.1785709857940674,1.1321430206298828,1.163571000099182,1.163571000099182,1554000,2002-07-10,Netflix
1.1542860269546509,1.2785710096359253,1.1328569650650024,1.269286036491394,1.269286036491394,2529800,2002-07-11,Netflix
1.2785710096359253,1.2799999713897705,1.207142949104309,1.2078570127487185,1.2078570127487185,2837800,2002-07-12,Netflix
1.2428569793701172,1.2485710382461548,1.076429009437561,1.1428569555282593,1.1428569555282593,4239200,2002-07-15,Netflix
1.152856945991516,1.157142996788025,1.1042859554290771,1.1264289617538452,1.1264289617538452,1941800,2002-07-16,Netflix
1.1449999809265137,1.163571000099182,1.0757139921188354,1.089285969734192,1.089285969734192,1261400,2002-07-17,Netflix
1.1171430349349976,1.166429042816162,1.1107139587402344,1.1492860317230225,1.1492860317230225,2899400,2002-07-18,Netflix
1.152856945991516,1.160714030265808,1.122143030166626,1.159999966621399,1.159999966621399,1792000,2002-07-19,Netflix
1.135714054107666,1.179286003112793,1.1150000095367432,1.170714020729065,1.170714020729065,1993600,2002-07-22,Netflix
1.176429033279419,1.2135709524154663,1.1307140588760376,1.1464289426803589,1.1464289426803589,1577800,2002-07-23,Netflix
1.1464289426803589,1.1592860221862793,1.0742859840393066,1.114285945892334,1.114285945892334,3355800,2002-07-24,Netflix
1.125,1.127856969833374,1.034999966621399,1.0364290475845337,1.0364290475845337,4755800,2002-07-25,Netflix
1.0499999523162842,1.0585709810256958,0.8500000238418579,0.8714290261268616,0.8714290261268616,7046200,2002-07-26,Netflix
0.8964290022850037,0.9242860078811646,0.8500000238418579,0.87642902135849,0.87642902135849,3260600,2002-07-29,Netflix
0.8935710191726685,0.942857027053833,0.8935710191726685,0.9142860174179076,0.9142860174179076,3777200,2002-07-30,Netflix
0.9285709857940674,0.959999978542328,0.9057139754295348,0.9535710215568542,0.9535710215568542,3333400,2002-07-31,Netflix
0.949999988079071,0.959999978542328,0.8778570294380188,0.8914290070533752,0.8914290070533752,4529000,2002-08-01,Netflix
0.8864290118217468,0.8878570199012756,0.7064290046691895,0.7778570055961609,0.7778570055961609,6655600,2002-08-02,Netflix
0.7785710096359253,0.8128569722175598,0.7607139945030212,0.7749999761581421,0.7749999761581421,3808000,2002-08-05,Netflix
0.7957140207290649,0.8035709857940674,0.7428569793701172,0.7607139945030212,0.7607139945030212,3217200,2002-08-06,Netflix
0.7607139945030212,0.7935709953308105,0.7428569793701172,0.7935709953308105,0.7935709953308105,2758000,2002-08-07,Netflix
0.7964289784431458,0.8035709857940674,0.7507140040397644,0.7964289784431458,0.7964289784431458,2283400,2002-08-08,Netflix
0.798570990562439,0.8214290142059326,0.7785710096359253,0.7871429920196533,0.7871429920196533,1500800,2002-08-09,Netflix
0.802856981754303,0.807142972946167,0.7535709738731384,0.7571430206298828,0.7571430206298828,2130800,2002-08-12,Netflix
0.767857015132904,0.8050000071525574,0.754285991191864,0.7728570103645325,0.7728570103645325,1677200,2002-08-13,Netflix
0.7757139801979065,0.8335710167884827,0.7714290022850037,0.8335710167884827,0.8335710167884827,4047400,2002-08-14,Netflix
0.8371430039405823,0.9107139706611632,0.8328570127487183,0.8828570246696472,0.8828570246696472,3263400,2002-08-15,Netflix
0.892857015132904,0.9242860078811646,0.857142984867096,0.9128569960594176,0.9128569960594176,1828400,2002-08-16,Netflix
0.925000011920929,0.9842860102653505,0.917856991291046,0.982142984867096,0.982142984867096,2074800,2002-08-19,Netflix
0.9850000143051147,0.9935709834098816,0.9214289784431458,0.9464290142059326,0.9464290142059326,2539600,2002-08-20,Netflix
0.9528570175170898,0.9714289903640748,0.9185709953308104,0.9685710072517396,0.9685710072517396,2779000,2002-08-21,Netflix
0.973571002483368,0.9992859959602356,0.929286003112793,0.9835709929466248,0.9835709929466248,2963800,2002-08-22,Netflix
0.9935709834098816,0.9964290261268616,0.9678570032119752,0.9935709834098816,0.9935709834098816,2406600,2002-08-23,Netflix
0.9964290261268616,0.9964290261268616,0.9378569722175598,0.9678570032119752,0.9678570032119752,2644600,2002-08-26,Netflix
0.9678570032119752,0.9678570032119752,0.8578569889068604,0.87357097864151,0.87357097864151,4984000,2002-08-27,Netflix
0.86142897605896,0.8899999856948853,0.824999988079071,0.8642860054969788,0.8642860054969788,2275000,2002-08-28,Netflix
0.8328570127487183,0.9221429824829102,0.8242859840393066,0.9035710096359252,0.9035710096359252,2395400,2002-08-29,Netflix
0.9142860174179076,0.9628570079803468,0.8942859768867493,0.9364290237426758,0.9364290237426758,2121000,2002-08-30,Netflix
0.9364290237426758,0.9635710120201112,0.913571000099182,0.925000011920929,0.925000011920929,1593200,2002-09-03,Netflix
0.9257140159606934,0.945713996887207,0.9078570008277892,0.9285709857940674,0.9285709857940674,373800,2002-09-04,Netflix
0.917856991291046,0.9357140064239502,0.9107139706611632,0.917856991291046,0.917856991291046,285600,2002-09-05,Netflix
0.927856981754303,0.9357140064239502,0.9107139706611632,0.9142860174179076,0.9142860174179076,763000,2002-09-06,Netflix
0.919286012649536,0.925000011920929,0.892857015132904,0.901428997516632,0.901428997516632,1419600,2002-09-09,Netflix
0.9007139801979065,0.949999988079071,0.8892859816551208,0.9449999928474426,0.9449999928474426,4746000,2002-09-10,Netflix
0.9385709762573242,0.9764289855957032,0.9385709762573242,0.961428999900818,0.961428999900818,1629600,2002-09-11,Netflix
0.9628570079803468,0.9671429991722108,0.9142860174179076,0.925000011920929,0.925000011920929,1943200,2002-09-12,Netflix
0.9214289784431458,0.9271429777145386,0.8642860054969788,0.8785709738731384,0.8785709738731384,2485000,2002-09-13,Netflix
0.8921430110931396,0.8921430110931396,0.8528569936752319,0.857142984867096,0.857142984867096,3512600,2002-09-16,Netflix
0.8635709881782532,0.8642860054969788,0.824999988079071,0.8299999833106995,0.8299999833106995,2863000,2002-09-17,Netflix
0.8364289999008179,0.8414289951324463,0.7850000262260437,0.7878569960594177,0.7878569960594177,1521800,2002-09-18,Netflix
0.7850000262260437,0.7857139706611633,0.7178570032119751,0.7242860198020935,0.7242860198020935,4978400,2002-09-19,Netflix
0.7535709738731384,0.767857015132904,0.699999988079071,0.7078570127487183,0.7078570127487183,3484600,2002-09-20,Netflix
0.7142860293388367,0.732142984867096,0.7057139873504639,0.7114289999008179,0.7114289999008179,4839800,2002-09-23,Netflix
0.7114289999008179,0.7250000238418579,0.6892859935760498,0.7178570032119751,0.7178570032119751,3747800,2002-09-24,Netflix
0.7242860198020935,0.75,0.7078570127487183,0.732142984867096,0.732142984867096,1457400,2002-09-25,Netflix
0.74857097864151,0.7828570008277893,0.7285709977149963,0.7828570008277893,0.7828570008277893,4162200,2002-09-26,Netflix
0.7764289975166321,0.7842860221862793,0.7121430039405823,0.7200000286102295,0.7200000286102295,5105800,2002-09-27,Netflix
0.7071430087089539,0.7214289903640747,0.6892859935760498,0.692857027053833,0.692857027053833,4837000,2002-09-30,Netflix
0.7092859745025635,0.7099999785423279,0.6607139706611633,0.6785709857940674,0.6785709857940674,3850000,2002-10-01,Netflix
0.6885709762573242,0.6885709762573242,0.5607140064239502,0.5785710215568542,0.5785710215568542,9314200,2002-10-02,Netflix
0.5692859888076782,0.5699999928474426,0.4892860054969787,0.517857015132904,0.517857015132904,9765000,2002-10-03,Netflix
0.517857015132904,0.5314289927482605,0.4471429884433746,0.4685710072517395,0.4685710072517395,8433600,2002-10-04,Netflix
0.449999988079071,0.4585709869861603,0.3821429908275604,0.4121429920196533,0.4121429920196533,15724800,2002-10-07,Netflix
0.4107140004634857,0.4278570115566253,0.3907139897346496,0.4050000011920929,0.4050000011920929,4531800,2002-10-08,Netflix
0.4099999964237213,0.4107140004634857,0.3471429944038391,0.372857004404068,0.372857004404068,5982200,2002-10-09,Netflix
0.3778569996356964,0.5249999761581421,0.3464289903640747,0.5064290165901184,0.5064290165901184,13577200,2002-10-10,Netflix
0.5085710287094116,0.5285710096359253,0.4464290142059326,0.4707140028476715,0.4707140028476715,13281800,2002-10-11,Netflix
0.4642859995365143,0.5350000262260437,0.4635710120201111,0.5342860221862793,0.5342860221862793,5272400,2002-10-14,Netflix
0.5428569912910461,0.5857139825820923,0.5421429872512817,0.550000011920929,0.550000011920929,4125800,2002-10-15,Netflix
0.5292860269546509,0.5328570008277893,0.4428569972515106,0.4592860043048858,0.4592860043048858,5800200,2002-10-16,Netflix
0.4721429944038391,0.5857139825820923,0.4714289903640747,0.550000011920929,0.550000011920929,7481600,2002-10-17,Netflix
0.5857139825820923,0.7357140183448792,0.5857139825820923,0.6828569769859314,0.6828569769859314,24904600,2002-10-18,Netflix
0.63857102394104,0.6642860174179077,0.6085709929466248,0.6364290118217468,0.6364290118217468,9686600,2002-10-21,Netflix
0.6357139945030212,0.6435710191726685,0.6178569793701172,0.625,0.625,4263000,2002-10-22,Netflix
0.625,0.625,0.5857139825820923,0.5892860293388367,0.5892860293388367,3539200,2002-10-23,Netflix
0.6064289808273315,0.6064289808273315,0.5535709857940674,0.5792859792709351,0.5792859792709351,2431800,2002-10-24,Netflix
0.5799999833106995,0.6850000023841858,0.567857027053833,0.642857015132904,0.642857015132904,6447000,2002-10-25,Netflix
0.6642860174179077,0.7071430087089539,0.6499999761581421,0.6857140064239502,0.6857140064239502,5647600,2002-10-28,Netflix
0.675000011920929,0.6785709857940674,0.6328570246696472,0.6571429967880249,0.6571429967880249,2004800,2002-10-29,Netflix
0.6635710000991821,0.6657140254974365,0.6357139945030212,0.6414290070533752,0.6414290070533752,1423800,2002-10-30,Netflix
0.6364290118217468,0.642857015132904,0.62357097864151,0.6407139897346497,0.6407139897346497,1659000,2002-10-31,Netflix
0.6285709738731384,0.642857015132904,0.607142984867096,0.63857102394104,0.63857102394104,2126600,2002-11-01,Netflix
0.642857015132904,0.7028570175170898,0.6392859816551208,0.6714289784431458,0.6714289784431458,3589600,2002-11-04,Netflix
0.6721429824829102,0.6764289736747742,0.6507139801979065,0.6514289975166321,0.6514289975166321,1045800,2002-11-05,Netflix
0.6642860174179077,0.6642860174179077,0.6128569841384888,0.629285991191864,0.629285991191864,7032200,2002-11-06,Netflix
0.6321430206298828,0.6378570199012756,0.5928570032119751,0.5928570032119751,0.5928570032119751,2585800,2002-11-07,Netflix
0.6050000190734863,0.6128569841384888,0.5535709857940674,0.6107140183448792,0.6107140183448792,4922400,2002-11-08,Netflix
0.607142984867096,0.607142984867096,0.5857139825820923,0.6007140278816223,0.6007140278816223,371000,2002-11-11,Netflix
0.6000000238418579,0.6142860054969788,0.572143018245697,0.5778570175170898,0.5778570175170898,2191000,2002-11-12,Netflix
