Month,Apple: (Worldwide),Google: (Worldwide),Amazon: (Worldwide),Microsoft: (Worldwide),Netflix: (Worldwide)
2018-05-01,5,60,14,2,6.0
2018-06-01,5,57,14,2,6.0
2018-07-01,5,52,16,2,6.0
2018-08-01,5,52,14,2,6.0
2018-09-01,7,58,15,2,6.0
2018-10-01,4,56,15,2,6.0
2018-11-01,6,58,20,2,6.0
2018-12-01,6,55,19,2,7.0
2019-01-01,5,55,16,2,8.0
2019-02-01,5,57,15,2,7.0
2019-03-01,5,55,15,2,6.0
2019-04-01,5,54,15,2,6.0
2019-05-01,5,54,15,2,6.0
2019-06-01,5,53,15,2,6.0
2019-07-01,5,51,17,2,7.0
2019-08-01,6,53,17,2,7.0
2019-09-01,13,57,17,2,6.0
2019-10-01,6,57,17,2,6.0
2019-11-01,7,58,22,2,7.0
2019-12-01,7,54,23,2,7.0
2020-01-01,5,53,18,2,8.0
2020-02-01,5,57,17,3,7.0
2020-03-01,5,59,20,4,10.0
2020-04-01,5,66,23,4,12.0
2020-05-01,5,66,22,4,10.0
2020-06-01,5,54,20,3,9.0
2020-07-01,6,50,21,3,9.0
2020-08-01,6,55,19,3,8.0
2020-09-01,7,65,20,4,8.0
2020-10-01,6,54,20,4,7.0
2020-11-01,6,50,22,3,8.0
2020-12-01,6,49,24,3,9.0
2021-01-01,5,50,20,3,9.0
2021-02-01,4,51,18,3,9.0
2021-03-01,4,50,18,3,7.0
2021-04-01,4,49,18,3,8.0
2021-05-01,4,49,17,3,8.0
2021-06-01,4,46,17,3,7.0
2021-07-01,4,47,17,3,7.0
2021-08-01,4,46,17,3,7.0
2021-09-01,5,50,16,3,7.0
2021-10-01,5,48,17,3,7.0
2021-11-01,5,48,19,3,7.0
2021-12-01,5,46,20,3,7.0
2022-01-01,5,50,18,3,9.0
2022-02-01,5,52,16,3,7.0
2022-03-01,5,51,16,3,7.0
2022-04-01,5,52,17,3,7.0
2022-05-01,5,54,16,3,7.0
2022-06-01,5,52,16,3,7.0
2022-07-01,5,50,18,3,7.0
2022-08-01,5,52,17,3,7.0
2022-09-01,7,57,17,3,7.0
2022-10-01,5,54,19,3,7.0
2022-11-01,5,49,19,3,6.0
2022-12-01,5,47,20,3,8.0
2023-01-01,5,48,17,3,8.0
2023-02-01,5,45,16,3,7.0
2023-03-01,4,53,15,3,6.0
